PC1,PC2,Animal,Condition
0.20953957842272097,0.0025931778445359346,Male_Group2_0.5mgkg_3_2091.3M_L4_acA2040-120um__23670846__20230727_105806877DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv,Group2_0.5mgkg
0.3696207825729846,-0.15504940761158817,Male_Group2_0.5mgkg_3_2091.4_M_L1_acA2040-120um__23670847__20230727_112807739DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv,Group2_0.5mgkg
0.4992323620197485,-0.04231509466632698,Male_Group2_0.5mgkg_3_2092.0_M_L2_acA2040-120um__23701274__20230727_113152401DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv,Group2_0.5mgkg
0.1707414691111622,-0.15134767404826993,Male_Group2_0.5mgkg_3_2092.1M_L3_acA2040-120um__23701299__20230727_113245593DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv,Group2_0.5mgkg
0.2531371810283023,-0.09516827717846872,Male_Group2_0.5mgkg_3_2092.2M_L4_acA2040-120um__23670846__20230727_113406584DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv,Group2_0.5mgkg
0.19192266585492188,-0.17427691108186336,Male_Group2_0.5mgkg_3_2092.3_M_L1_acA2040-120um__23670847__20230727_120344244DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv,Group2_0.5mgkg
0.28614641873990293,-0.06358742950558946,Male_Group3_1.0mgkg_3_2095.0_M_L1_acA2040-120um__23670847__20230727_135523906DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv,Group3_1.0mgkg
0.37545472995853296,-0.07651045531360495,Male_Group3_1.0mgkg_3_2095.1_M_L2_acA2040-120um__23701274__20230727_140003330DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv,Group3_1.0mgkg
0.13727200451181126,0.027233683397322798,Male_Group3_1.0mgkg_3_2095.2M_L3_acA2040-120um__23701299__20230727_140051891DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv,Group3_1.0mgkg
0.4686912431511284,-0.16554840347967445,Male_Group3_1.0mgkg_3_2095.3M_L4_acA2040-120um__23670846__20230727_140218479DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv,Group3_1.0mgkg
0.2402553298024089,-0.04708519751516193,Male_Group3_1.0mgkg_3_2095.4_M_L1_acA2040-120um__23670847__20230727_143233933DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv,Group3_1.0mgkg
0.524807395740938,-0.23060710736606896,Male_Group3_1.0mgkg_3_2096.0_M_L2_acA2040-120um__23701274__20230727_143600535DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv,Group3_1.0mgkg
0.23736733858821998,-0.08994101030561168,Male_Group3_1.0mgkg_3_2096.1M_L3_acA2040-120um__23701299__20230727_143717272DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv,Group3_1.0mgkg
0.37688020060824584,-0.17774521249543423,Male_Group3_1.0mgkg_3_2096.2M_L4_acA2040-120um__23670846__20230727_143857589DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv,Group3_1.0mgkg
0.2117403414279375,-0.11978010031364215,Male_Group3_1.0mgkg_3_2096.3_M_L1_acA2040-120um__23670847__20230727_150831120DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv,Group3_1.0mgkg
0.31104905295429314,0.004666473663980043,Male_Group3_1.0mgkg_3_2096.4_M_L2_acA2040-120um__23701274__20230727_151209774DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv,Group3_1.0mgkg
0.6442031732958321,-0.34841611695690805,Male_Group4_5mgkg_3_2099.0_M_L1_acA2040-120um__23670847__20230728_105138774DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv,Group4_5mgkg
0.7572963367472828,-0.41153871232542655,Male_Group4_5mgkg_3_2099.1_M_L2__acA2040-120um__23701274__20230728_105508045DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv,Group4_5mgkg
0.5223942892555284,-0.3482917245153837,Male_Group4_5mgkg_3_2099.2M_L3_acA2040-120um__23701299__20230728_105550284DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv,Group4_5mgkg
0.5154754976398969,-0.3035603319158396,Male_Group4_5mgkg_3_2099.3M_L4_acA2040-120um__23670846__20230728_105712250DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv,Group4_5mgkg
0.23306844032899834,-0.2110841444077251,Male_Group4_5mgkg_3_2099.4_M_L1__acA2040-120um__23670847__20230728_112653313DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv,Group4_5mgkg
0.6885993712549203,-0.35768603648401054,Male_Group4_5mgkg_3_2100.0_M_L2_acA2040-120um__23701274__20230728_113029503DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv,Group4_5mgkg
0.5315838304727126,-0.34314286286394535,Male_Group4_5mgkg_3_2100.1M_L3_acA2040-120um__23701299__20230728_113115084DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv,Group4_5mgkg
0.6171313144135558,-0.18537618167734882,Male_Group4_5mgkg_3_2100.2M_L4_acA2040-120um__23670846__20230728_113233419DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv,Group4_5mgkg
0.30814520960008673,-0.2621933609866898,Male_Group4_5mgkg_3_2100.3_M_L1_acA2040-120um__23670847__20230728_120257418DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv,Group4_5mgkg
0.6334964377865774,-0.346569454821653,Male_Group4_5mgkg_3_2100.4_M_L2_acA2040-120um__23701274__20230728_120634439DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv,Group4_5mgkg
0.797227318266047,-0.43277339612214083,Male_Group5_10mgkg_3_2103.0_M_L1_acA2040-120um__23670847__20230728_135150209DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv,Group5_10mgkg
0.7702038700805824,-0.4198217045126961,Male_Group5_10mgkg_3_2103.1_M_L2_acA2040-120um__23701274__20230728_135510478DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv,Group5_10mgkg
0.7997454449778675,-0.4391534050712157,Male_Group5_10mgkg_3_2103.2M_L3_acA2040-120um__23701299__20230728_135647495DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv,Group5_10mgkg
0.7206206020291743,-0.35967294486879897,Male_Group5_10mgkg_3_2103.3M_L4_acA2040-120um__23670846__20230728_135800622DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv,Group5_10mgkg
0.8064056381727641,-0.4323297526234338,Male_Group5_10mgkg_3_2103.4_M_L1_acA2040-120um__23670847__20230728_142824849DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv,Group5_10mgkg
0.74298847581446,-0.34354051447435763,Male_Group5_10mgkg_3_2104.0_M_L2_acA2040-120um__23701274__20230728_143148849DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv,Group5_10mgkg
0.7507677517034629,-0.44048803855547436,Male_Group5_10mgkg_3_2104.1M_L3_acA2040-120um__23701299__20230728_143232918DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv,Group5_10mgkg
0.6840340145794569,-0.3674456412135606,Male_Group5_10mgkg_3_2104.2M_L4_acA2040-120um__23670846__20230728_143404620DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv,Group5_10mgkg
0.8047339187650797,-0.4613188887582509,Male_Group5_10mgkg_3_2104.3_M_L1_acA2040-120um__23670847__20230728_150433732DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv,Group5_10mgkg
0.8064611180964181,-0.43094384996068136,Male_Group5_10mgkg_3_2104.4_M_L2_acA2040-120um__23701274__20230728_150819132DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv,Group5_10mgkg
